NTASData [id=16594819915, subwayLine=YUS, stationId=STP1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=0.4871155555555555, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819916, subwayLine=YUS, stationId=STP1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=3.6153033333333333, timeString=03.62, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819917, subwayLine=YUS, stationId=STP1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=4.248892222222222, timeString=04.25, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819918, subwayLine=YUS, stationId=OSG1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=1.2382622222222222, timeString=01.24, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819919, subwayLine=YUS, stationId=OSG1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=4.36645, timeString=04.37, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819920, subwayLine=YUS, stationId=OSG1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=5.000038888888889, timeString=05.00, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819921, subwayLine=YUS, stationId=STA1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=2.0721000000000003, timeString=02.07, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819922, subwayLine=YUS, stationId=STA1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=5.200287777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819923, subwayLine=YUS, stationId=STA1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=5.833876666666665, timeString=05.83, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819924, subwayLine=YUS, stationId=UNI1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=2.979033333333333, timeString=02.98, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819925, subwayLine=YUS, stationId=UNI1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=6.1072211111111105, timeString=06.11, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819926, subwayLine=YUS, stationId=UNI1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=6.740809999999998, timeString=06.74, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819927, subwayLine=YUS, stationId=KNG1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=0.1840088888888889, timeString=00.18, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819928, subwayLine=YUS, stationId=KNG1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=3.7739244444444444, timeString=03.77, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819929, subwayLine=YUS, stationId=KNG1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=6.902112222222222, timeString=06.90, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819930, subwayLine=YUS, stationId=QUN1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=1.0096622222222222, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819931, subwayLine=YUS, stationId=QUN1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=4.599577777777778, timeString=04.60, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819932, subwayLine=YUS, stationId=QUN1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=7.727765555555553, timeString=07.73, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819933, subwayLine=YUS, stationId=DUN1, trainId=114, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819934, subwayLine=YUS, stationId=DUN1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=1.7641955555555555, timeString=01.76, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819935, subwayLine=YUS, stationId=DUN1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=5.354111111111111, timeString=05.35, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819936, subwayLine=YUS, stationId=COL1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=0.8668577777777778, timeString=00.87, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819937, subwayLine=YUS, stationId=COL1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=2.6310533333333335, timeString=02.63, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819938, subwayLine=YUS, stationId=COL1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=6.220968888888889, timeString=06.22, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819939, subwayLine=YUS, stationId=WEL1, trainId=112, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819940, subwayLine=YUS, stationId=WEL1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=1.7845155555555554, timeString=01.78, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819941, subwayLine=YUS, stationId=WEL1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.5487111111111114, timeString=03.55, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594819942, subwayLine=YUS, stationId=BLO1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=0.9543466666666667, timeString=00.95, trainDestination=FIN1, createDate=Sun Sep 17 12:26:27 EDT 2017, systemMessageType=Normal]
