NTASData [id=16594715944, subwayLine=SHEP, stationId=BYV1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=2.383892617449664, timeString=02.38, trainDestination=DML1, createDate=Sun Sep 17 12:18:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16594715945, subwayLine=SHEP, stationId=BSS1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=4.1711073825503355, timeString=04.17, trainDestination=DML1, createDate=Sun Sep 17 12:18:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16594715946, subwayLine=SHEP, stationId=LES1, trainId=464, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=DML1, createDate=Sun Sep 17 12:18:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16594715947, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=5.758993288590603, timeString=05.76, trainDestination=DML1, createDate=Sun Sep 17 12:18:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16594715948, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=Delayed, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 12:18:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16594715949, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.504664429530201, timeString=03.50, trainDestination=DML1, createDate=Sun Sep 17 12:18:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16594715950, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=9.263657718120806, timeString=09.26, trainDestination=DML1, createDate=Sun Sep 17 12:18:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16594715951, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.504664429530201, timeString=03.50, trainDestination=DML1, createDate=Sun Sep 17 12:18:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16594715952, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=9.263657718120806, timeString=09.26, trainDestination=DML1, createDate=Sun Sep 17 12:18:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16594715953, subwayLine=SHEP, stationId=BYV2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=1.3369127516778523, timeString=01.34, trainDestination=YIE2, createDate=Sun Sep 17 12:18:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16594715954, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=5.477818791946309, timeString=05.48, trainDestination=YIE2, createDate=Sun Sep 17 12:18:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16594715955, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=5.477818791946309, timeString=05.48, trainDestination=YIE2, createDate=Sun Sep 17 12:18:19 EDT 2017, systemMessageType=Normal]
