NTASData [id=16593594982, subwayLine=SHEP, stationId=BSS1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=0.595973154362416, timeString=00.60, trainDestination=DML1, createDate=Sun Sep 17 10:53:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16593594983, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=2.1838590604026846, timeString=02.18, trainDestination=DML1, createDate=Sun Sep 17 10:53:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16593594984, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:53:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16593594985, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=5.688523489932885, timeString=05.69, trainDestination=DML1, createDate=Sun Sep 17 10:53:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16593594986, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=5.688523489932885, timeString=05.69, trainDestination=DML1, createDate=Sun Sep 17 10:53:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16593594987, subwayLine=SHEP, stationId=LES2, trainId=463, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:53:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16593594988, subwayLine=SHEP, stationId=BSS2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=1.5959395973154362, timeString=01.60, trainDestination=YIE2, createDate=Sun Sep 17 10:53:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16593594989, subwayLine=SHEP, stationId=BYV2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=3.3871812080536916, timeString=03.39, trainDestination=YIE2, createDate=Sun Sep 17 10:53:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16593594990, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=0.6040268456375839, timeString=00.60, trainDestination=YIE2, createDate=Sun Sep 17 10:53:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16593594991, subwayLine=SHEP, stationId=YIE2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=7.528087248322147, timeString=07.53, trainDestination=YIE2, createDate=Sun Sep 17 10:53:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16593594992, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=0.6040268456375839, timeString=00.60, trainDestination=YIE2, createDate=Sun Sep 17 10:53:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16593594993, subwayLine=SHEP, stationId=YIE1, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=7.528087248322147, timeString=07.53, trainDestination=YIE2, createDate=Sun Sep 17 10:53:53 EDT 2017, systemMessageType=Normal]
