NTASData [id=16593413157, subwayLine=SHEP, stationId=LES1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=0.2657718120805369, timeString=00.27, trainDestination=DML1, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413158, subwayLine=SHEP, stationId=LES1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=6.81, timeString=06.81, trainDestination=DML1, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413159, subwayLine=SHEP, stationId=DML1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=3.770436241610738, timeString=03.77, trainDestination=DML1, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413160, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=10.314664429530202, timeString=10.31, trainDestination=DML1, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413161, subwayLine=SHEP, stationId=DML2, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=3.770436241610738, timeString=03.77, trainDestination=DML1, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413162, subwayLine=SHEP, stationId=DML2, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=10.314664429530202, timeString=10.31, trainDestination=DML1, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413163, subwayLine=SHEP, stationId=LES2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=2.325503355704698, timeString=02.33, trainDestination=YIE2, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413164, subwayLine=SHEP, stationId=BSS2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=3.921442953020134, timeString=03.92, trainDestination=YIE2, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413165, subwayLine=SHEP, stationId=BYV2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=5.712684563758389, timeString=05.71, trainDestination=YIE2, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413166, subwayLine=SHEP, stationId=YIE2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=3.8859060402684564, timeString=03.89, trainDestination=YIE2, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413167, subwayLine=SHEP, stationId=YIE2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=9.853590604026845, timeString=09.85, trainDestination=YIE2, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413168, subwayLine=SHEP, stationId=YIE1, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=3.8859060402684564, timeString=03.89, trainDestination=YIE2, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413169, subwayLine=SHEP, stationId=YIE1, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=9.853590604026845, timeString=09.85, trainDestination=YIE2, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413170, subwayLine=SHEP, stationId=BYV1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=3.43489932885906, timeString=03.43, trainDestination=DML1, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16593413171, subwayLine=SHEP, stationId=BSS1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=5.222114093959731, timeString=05.22, trainDestination=DML1, createDate=Sun Sep 17 10:40:16 EDT 2017, systemMessageType=Normal]
