NTASData [id=16594955581, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=0.8456375838926175, timeString=00.85, trainDestination=DML1, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594955582, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=6.290536912751677, timeString=06.29, trainDestination=DML1, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594955583, subwayLine=SHEP, stationId=DML2, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=0.8456375838926175, timeString=00.85, trainDestination=DML1, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594955584, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=6.290536912751677, timeString=06.29, trainDestination=DML1, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594955585, subwayLine=SHEP, stationId=LES2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=1.0791946308724831, timeString=01.08, trainDestination=YIE2, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594955586, subwayLine=SHEP, stationId=BSS2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=2.675134228187919, timeString=02.68, trainDestination=YIE2, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594955587, subwayLine=SHEP, stationId=BYV2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=4.466375838926174, timeString=04.47, trainDestination=YIE2, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594955588, subwayLine=SHEP, stationId=YIE2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=0.5033557046979865, timeString=00.50, trainDestination=YIE1, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594955589, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=8.60728187919463, timeString=08.61, trainDestination=YIE2, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594955590, subwayLine=SHEP, stationId=YIE1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=0.5033557046979865, timeString=00.50, trainDestination=YIE1, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594955591, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=8.60728187919463, timeString=08.61, trainDestination=YIE2, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594955592, subwayLine=SHEP, stationId=BSS1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=1.197986577181208, timeString=01.20, trainDestination=DML1, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594955593, subwayLine=SHEP, stationId=LES1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=2.7858724832214765, timeString=02.79, trainDestination=DML1, createDate=Sun Sep 17 12:37:14 EDT 2017, systemMessageType=Normal]
