NTASData [id=16594692940, subwayLine=YUS, stationId=SHP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=2.5862844444444444, timeString=02.59, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693050, subwayLine=YUS, stationId=SCW1, trainId=532, trainMessage=Arriving, trainDirection=North, timeInt=6.519639999999999, timeString=06.52, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693051, subwayLine=YUS, stationId=DUP1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=0.8776111111111111, timeString=00.88, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693052, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=3.412463703703704, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693053, subwayLine=YUS, stationId=DUP1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=7.601954814814815, timeString=07.60, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693054, subwayLine=YUS, stationId=SPA1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=0.5215466666666667, timeString=00.52, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693055, subwayLine=YUS, stationId=SPA1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=1.8782422222222221, timeString=01.88, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693056, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=4.413094814814815, timeString=04.41, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693057, subwayLine=YUS, stationId=SGU1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=0.5319888888888888, timeString=00.53, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693058, subwayLine=YUS, stationId=SGU1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=1.6511533333333333, timeString=01.65, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693059, subwayLine=YUS, stationId=SGU1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=3.007848888888889, timeString=03.01, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693060, subwayLine=YUS, stationId=MUS1, trainId=114, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693061, subwayLine=YUS, stationId=MUS1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=1.7339855555555554, timeString=01.73, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693062, subwayLine=YUS, stationId=MUS1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=2.8531500000000003, timeString=02.85, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693063, subwayLine=YUS, stationId=QPK1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=1.2625333333333333, timeString=01.26, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693064, subwayLine=YUS, stationId=QPK1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=2.9965188888888887, timeString=03.00, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693065, subwayLine=YUS, stationId=QPK1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=4.115683333333333, timeString=04.12, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693066, subwayLine=YUS, stationId=STP1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=2.4133066666666663, timeString=02.41, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693067, subwayLine=YUS, stationId=STP1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=4.147292222222221, timeString=04.15, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693068, subwayLine=YUS, stationId=STP1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=5.266456666666667, timeString=05.27, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693069, subwayLine=YUS, stationId=OSG1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=3.1644533333333333, timeString=03.16, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693070, subwayLine=YUS, stationId=OSG1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=4.898438888888888, timeString=04.90, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693071, subwayLine=YUS, stationId=OSG1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=6.017603333333334, timeString=06.02, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693072, subwayLine=YUS, stationId=STA1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=0.5788377777777778, timeString=00.58, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693073, subwayLine=YUS, stationId=STA1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=3.998291111111111, timeString=04.00, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693074, subwayLine=YUS, stationId=STA1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=5.732276666666666, timeString=05.73, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693075, subwayLine=YUS, stationId=UNI1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=1.4857711111111112, timeString=01.49, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693076, subwayLine=YUS, stationId=UNI1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=4.905224444444444, timeString=04.91, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693077, subwayLine=YUS, stationId=UNI1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=6.6392099999999985, timeString=06.64, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693078, subwayLine=YUS, stationId=KNG1, trainId=111, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693079, subwayLine=YUS, stationId=KNG1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=2.2806622222222224, timeString=02.28, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693080, subwayLine=YUS, stationId=KNG1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=5.700115555555556, timeString=05.70, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693081, subwayLine=YUS, stationId=QUN1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=0.8256533333333334, timeString=00.83, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693082, subwayLine=YUS, stationId=QUN1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=3.1063155555555557, timeString=03.11, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693083, subwayLine=YUS, stationId=QUN1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=6.525768888888889, timeString=06.53, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693084, subwayLine=YUS, stationId=DUN1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=1.5801866666666666, timeString=01.58, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693085, subwayLine=YUS, stationId=DUN1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=3.860848888888889, timeString=03.86, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693086, subwayLine=YUS, stationId=DUN1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=7.280302222222222, timeString=07.28, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693087, subwayLine=YUS, stationId=COL1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=2.447044444444445, timeString=02.45, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693088, subwayLine=YUS, stationId=COL1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=4.727706666666666, timeString=04.73, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693089, subwayLine=YUS, stationId=COL1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=8.14716, timeString=08.15, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693090, subwayLine=YUS, stationId=WEL1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=0.26754666666666665, timeString=00.27, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693091, subwayLine=YUS, stationId=WEL1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=3.3647022222222223, timeString=03.36, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693092, subwayLine=YUS, stationId=WEL1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=5.645364444444445, timeString=05.65, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693093, subwayLine=YUS, stationId=BLO1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=1.2218933333333333, timeString=01.22, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693094, subwayLine=YUS, stationId=BLO1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=4.319048888888888, timeString=04.32, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693095, subwayLine=YUS, stationId=BLO1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=6.599711111111111, timeString=06.60, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693096, subwayLine=YUS, stationId=ROS1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=2.550466666666667, timeString=02.55, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693097, subwayLine=YUS, stationId=ROS1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=5.647622222222223, timeString=05.65, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693098, subwayLine=YUS, stationId=ROS1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=7.928284444444444, timeString=07.93, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693099, subwayLine=YUS, stationId=SUM1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=3.5798844444444446, timeString=03.58, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693100, subwayLine=YUS, stationId=SUM1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=6.67704, timeString=06.68, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693101, subwayLine=YUS, stationId=SUM1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=8.957702222222222, timeString=08.96, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693102, subwayLine=YUS, stationId=STC1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=1.15316, timeString=01.15, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693103, subwayLine=YUS, stationId=STC1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=4.988044444444444, timeString=04.99, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693104, subwayLine=YUS, stationId=STC1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=8.0852, timeString=08.09, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693105, subwayLine=YUS, stationId=DAV1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=3.1855955555555555, timeString=03.19, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693106, subwayLine=YUS, stationId=DAV1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=7.020479999999999, timeString=07.02, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693107, subwayLine=YUS, stationId=DAV1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=10.117635555555555, timeString=10.12, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693108, subwayLine=YUS, stationId=EGL1, trainId=108, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693109, subwayLine=YUS, stationId=EGL1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=4.799777777777778, timeString=04.80, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693110, subwayLine=YUS, stationId=EGL1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=8.634662222222222, timeString=08.63, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693111, subwayLine=YUS, stationId=LAW1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=2.8092400000000004, timeString=02.81, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693112, subwayLine=YUS, stationId=LAW1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=4.291906666666667, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693113, subwayLine=YUS, stationId=LAW1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=9.091684444444445, timeString=09.09, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693114, subwayLine=YUS, stationId=YKM1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=6.323906666666667, timeString=06.32, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693115, subwayLine=YUS, stationId=YKM1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=7.806573333333333, timeString=07.81, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594693116, subwayLine=YUS, stationId=YKM1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=12.606351111111112, timeString=12.61, trainDestination=FIN1, createDate=Sun Sep 17 12:16:32 EDT 2017, systemMessageType=Normal]
