NTASData [id=16593207858, subwayLine=SHEP, stationId=YIE1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=0.17718120805369128, timeString=00.18, trainDestination=YIE1, createDate=Sun Sep 17 10:25:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593207859, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=8.60728187919463, timeString=08.61, trainDestination=YIE2, createDate=Sun Sep 17 10:25:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593207860, subwayLine=SHEP, stationId=BSS1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=1.532214765100671, timeString=01.53, trainDestination=DML1, createDate=Sun Sep 17 10:25:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593207861, subwayLine=SHEP, stationId=LES1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.1201006711409396, timeString=03.12, trainDestination=DML1, createDate=Sun Sep 17 10:25:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593207862, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:25:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593207863, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=6.624765100671141, timeString=06.62, trainDestination=DML1, createDate=Sun Sep 17 10:25:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593207864, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=6.624765100671141, timeString=06.62, trainDestination=DML1, createDate=Sun Sep 17 10:25:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593207865, subwayLine=SHEP, stationId=LES2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=1.0791946308724831, timeString=01.08, trainDestination=YIE2, createDate=Sun Sep 17 10:25:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593207866, subwayLine=SHEP, stationId=BSS2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=2.675134228187919, timeString=02.68, trainDestination=YIE2, createDate=Sun Sep 17 10:25:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593207867, subwayLine=SHEP, stationId=BYV2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=4.466375838926174, timeString=04.47, trainDestination=YIE2, createDate=Sun Sep 17 10:25:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593207868, subwayLine=SHEP, stationId=YIE2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=0.17718120805369128, timeString=00.18, trainDestination=YIE1, createDate=Sun Sep 17 10:25:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593207869, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=8.60728187919463, timeString=08.61, trainDestination=YIE2, createDate=Sun Sep 17 10:25:10 EDT 2017, systemMessageType=Normal]
