NTASData [id=16595168604, subwayLine=SHEP, stationId=BYV1, trainId=463, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=DML1, createDate=Sun Sep 17 12:54:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16595168605, subwayLine=SHEP, stationId=BSS1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=1.787214765100671, timeString=01.79, trainDestination=DML1, createDate=Sun Sep 17 12:54:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16595168606, subwayLine=SHEP, stationId=LES1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=3.37510067114094, timeString=03.38, trainDestination=DML1, createDate=Sun Sep 17 12:54:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16595168607, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=6.879765100671141, timeString=06.88, trainDestination=DML1, createDate=Sun Sep 17 12:54:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16595168608, subwayLine=SHEP, stationId=DML2, trainId=462, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 12:54:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16595168609, subwayLine=SHEP, stationId=DML2, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=6.879765100671141, timeString=06.88, trainDestination=DML1, createDate=Sun Sep 17 12:54:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16595168610, subwayLine=SHEP, stationId=BSS2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=1.340939597315436, timeString=01.34, trainDestination=YIE2, createDate=Sun Sep 17 12:54:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16595168611, subwayLine=SHEP, stationId=BYV2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=3.1321812080536913, timeString=03.13, trainDestination=YIE2, createDate=Sun Sep 17 12:54:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16595168612, subwayLine=SHEP, stationId=YIE2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=7.273087248322147, timeString=07.27, trainDestination=YIE2, createDate=Sun Sep 17 12:54:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16595168613, subwayLine=SHEP, stationId=YIE1, trainId=464, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=DML1, createDate=Sun Sep 17 12:54:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16595168614, subwayLine=SHEP, stationId=YIE1, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=7.273087248322147, timeString=07.27, trainDestination=YIE2, createDate=Sun Sep 17 12:54:29 EDT 2017, systemMessageType=Normal]
