NTASData [id=16592999786, subwayLine=SHEP, stationId=BYV2, trainId=463, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:11:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999787, subwayLine=SHEP, stationId=YIE2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=4.140906040268456, timeString=04.14, trainDestination=YIE2, createDate=Sun Sep 17 10:11:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999788, subwayLine=SHEP, stationId=YIE1, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=4.140906040268456, timeString=04.14, trainDestination=YIE2, createDate=Sun Sep 17 10:11:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999789, subwayLine=SHEP, stationId=BYV1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=3.9221476510067115, timeString=03.92, trainDestination=DML1, createDate=Sun Sep 17 10:11:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999790, subwayLine=SHEP, stationId=BSS1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=5.709362416107382, timeString=05.71, trainDestination=DML1, createDate=Sun Sep 17 10:11:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999791, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=1.3328859060402685, timeString=01.33, trainDestination=DML1, createDate=Sun Sep 17 10:11:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999792, subwayLine=SHEP, stationId=LES1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=7.2972483221476505, timeString=07.30, trainDestination=DML1, createDate=Sun Sep 17 10:11:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999793, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Delayed, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:11:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999794, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=4.837550335570469, timeString=04.84, trainDestination=DML1, createDate=Sun Sep 17 10:11:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999795, subwayLine=SHEP, stationId=DML1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=10.801912751677852, timeString=10.80, trainDestination=DML1, createDate=Sun Sep 17 10:11:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999796, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=4.837550335570469, timeString=04.84, trainDestination=DML1, createDate=Sun Sep 17 10:11:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999797, subwayLine=SHEP, stationId=DML2, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=10.801912751677852, timeString=10.80, trainDestination=DML1, createDate=Sun Sep 17 10:11:14 EDT 2017, systemMessageType=Normal]
