NTASData [id=16594874256, subwayLine=YUS, stationId=SHW2, trainId=94, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874257, subwayLine=YUS, stationId=SHW2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=3.0318333333333336, timeString=03.03, trainDestination=SHW2, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874258, subwayLine=YUS, stationId=SHW2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=7.896957777777778, timeString=07.90, trainDestination=SHW2, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874259, subwayLine=YUS, stationId=SHW1, trainId=5, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874260, subwayLine=YUS, stationId=SHW1, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=3.0318333333333336, timeString=03.03, trainDestination=SHW2, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874261, subwayLine=YUS, stationId=SHW1, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=7.896957777777778, timeString=07.90, trainDestination=SHW2, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874262, subwayLine=YUS, stationId=WIL1, trainId=106, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874263, subwayLine=YUS, stationId=YKD1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=1.0103555555555555, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874264, subwayLine=YUS, stationId=YKD1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=2.015502222222222, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874265, subwayLine=YUS, stationId=LWW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=0.27796296296296297, timeString=00.28, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874266, subwayLine=YUS, stationId=LWW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=0.4872222222222223, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874267, subwayLine=YUS, stationId=LWW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=1.5437407407407409, timeString=01.54, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874268, subwayLine=YUS, stationId=GCN1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=1.6364518518518518, timeString=01.64, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874269, subwayLine=YUS, stationId=GCN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=1.845711111111111, timeString=01.85, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874270, subwayLine=YUS, stationId=GCN1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=2.9022296296296295, timeString=02.90, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874271, subwayLine=YUS, stationId=EGW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=3.4566562962962957, timeString=03.46, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874272, subwayLine=YUS, stationId=EGW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=3.6659155555555554, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874273, subwayLine=YUS, stationId=EGW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=4.722434074074074, timeString=04.72, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874274, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=0.7879259259259259, timeString=00.79, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874275, subwayLine=YUS, stationId=SCW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=8.156091851851851, timeString=08.16, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874276, subwayLine=YUS, stationId=SCW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=8.36535111111111, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594874277, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=3.412463703703704, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:30:48 EDT 2017, systemMessageType=Normal]
