NTASData [id=16593545441, subwayLine=SHEP, stationId=LES1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=0.2657718120805369, timeString=00.27, trainDestination=DML1, createDate=Sun Sep 17 10:50:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593545442, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=7.2972483221476505, timeString=07.30, trainDestination=DML1, createDate=Sun Sep 17 10:50:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593545443, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.770436241610738, timeString=03.77, trainDestination=DML1, createDate=Sun Sep 17 10:50:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593545444, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=10.801912751677852, timeString=10.80, trainDestination=DML1, createDate=Sun Sep 17 10:50:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593545445, subwayLine=SHEP, stationId=DML2, trainId=463, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:50:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593545446, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.770436241610738, timeString=03.77, trainDestination=DML1, createDate=Sun Sep 17 10:50:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593545447, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=10.801912751677852, timeString=10.80, trainDestination=DML1, createDate=Sun Sep 17 10:50:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593545448, subwayLine=SHEP, stationId=BYV2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=0.6845637583892618, timeString=00.68, trainDestination=YIE2, createDate=Sun Sep 17 10:50:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593545449, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=4.825469798657718, timeString=04.83, trainDestination=YIE2, createDate=Sun Sep 17 10:50:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593545450, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=4.825469798657718, timeString=04.83, trainDestination=YIE2, createDate=Sun Sep 17 10:50:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593545451, subwayLine=SHEP, stationId=BYV1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=3.9221476510067115, timeString=03.92, trainDestination=DML1, createDate=Sun Sep 17 10:50:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593545452, subwayLine=SHEP, stationId=BSS1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=5.709362416107382, timeString=05.71, trainDestination=DML1, createDate=Sun Sep 17 10:50:12 EDT 2017, systemMessageType=Normal]
