NTASData [id=16593813175, subwayLine=SHEP, stationId=DML2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=0.4187919463087248, timeString=00.42, trainDestination=DML2, createDate=Sun Sep 17 11:10:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593813176, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=5.386510067114093, timeString=05.39, trainDestination=DML1, createDate=Sun Sep 17 11:10:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593813177, subwayLine=SHEP, stationId=BSS2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=0.3302013422818792, timeString=00.33, trainDestination=YIE2, createDate=Sun Sep 17 11:10:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593813178, subwayLine=SHEP, stationId=BYV2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=2.121442953020134, timeString=02.12, trainDestination=YIE2, createDate=Sun Sep 17 11:10:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593813179, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=6.26234899328859, timeString=06.26, trainDestination=YIE2, createDate=Sun Sep 17 11:10:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593813180, subwayLine=SHEP, stationId=YIE1, trainId=461, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=DML1, createDate=Sun Sep 17 11:10:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593813181, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=6.26234899328859, timeString=06.26, trainDestination=YIE2, createDate=Sun Sep 17 11:10:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593813182, subwayLine=SHEP, stationId=BSS1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=0.29395973154362415, timeString=00.29, trainDestination=DML1, createDate=Sun Sep 17 11:10:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593813183, subwayLine=SHEP, stationId=LES1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=1.8818456375838926, timeString=01.88, trainDestination=DML1, createDate=Sun Sep 17 11:10:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593813184, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=0.4187919463087248, timeString=00.42, trainDestination=DML2, createDate=Sun Sep 17 11:10:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593813185, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=5.386510067114093, timeString=05.39, trainDestination=DML1, createDate=Sun Sep 17 11:10:33 EDT 2017, systemMessageType=Normal]
