NTASData [id=16593576887, subwayLine=SHEP, stationId=BYV1, trainId=461, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=DML1, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576888, subwayLine=SHEP, stationId=BSS1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=1.787214765100671, timeString=01.79, trainDestination=DML1, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576889, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=3.37510067114094, timeString=03.38, trainDestination=DML1, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576890, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=0.8456375838926175, timeString=00.85, trainDestination=DML1, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576891, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=6.879765100671141, timeString=06.88, trainDestination=DML1, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576892, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=0.8456375838926175, timeString=00.85, trainDestination=DML1, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576893, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=6.879765100671141, timeString=06.88, trainDestination=DML1, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576894, subwayLine=SHEP, stationId=LES2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=1.9167785234899328, timeString=01.92, trainDestination=YIE2, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576895, subwayLine=SHEP, stationId=BSS2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=3.512718120805369, timeString=03.51, trainDestination=YIE2, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576896, subwayLine=SHEP, stationId=BYV2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=5.303959731543624, timeString=05.30, trainDestination=YIE2, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576897, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=2.7906040268456374, timeString=02.79, trainDestination=YIE2, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576898, subwayLine=SHEP, stationId=YIE2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=9.444865771812081, timeString=09.44, trainDestination=YIE2, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576899, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=2.7906040268456374, timeString=02.79, trainDestination=YIE2, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593576900, subwayLine=SHEP, stationId=YIE1, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=9.444865771812081, timeString=09.44, trainDestination=YIE2, createDate=Sun Sep 17 10:52:33 EDT 2017, systemMessageType=Normal]
