NTASData [id=16593359387, subwayLine=SHEP, stationId=YIE1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=0.5033557046979865, timeString=00.50, trainDestination=YIE1, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359388, subwayLine=SHEP, stationId=YIE1, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=7.866342281879194, timeString=07.87, trainDestination=YIE2, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359389, subwayLine=SHEP, stationId=BYV1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=2.383892617449664, timeString=02.38, trainDestination=DML1, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359390, subwayLine=SHEP, stationId=BSS1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=4.1711073825503355, timeString=04.17, trainDestination=DML1, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359391, subwayLine=SHEP, stationId=LES1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=5.758993288590603, timeString=05.76, trainDestination=DML1, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359392, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359393, subwayLine=SHEP, stationId=DML1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=9.263657718120806, timeString=09.26, trainDestination=DML1, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359394, subwayLine=SHEP, stationId=DML2, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=9.263657718120806, timeString=09.26, trainDestination=DML1, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359395, subwayLine=SHEP, stationId=LES2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=0.33825503355704695, timeString=00.34, trainDestination=YIE2, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359396, subwayLine=SHEP, stationId=BSS2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=1.9341946308724833, timeString=01.93, trainDestination=YIE2, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359397, subwayLine=SHEP, stationId=BYV2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=3.725436241610738, timeString=03.73, trainDestination=YIE2, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359398, subwayLine=SHEP, stationId=YIE2, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=0.5033557046979865, timeString=00.50, trainDestination=YIE1, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359399, subwayLine=SHEP, stationId=YIE2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=7.866342281879194, timeString=07.87, trainDestination=YIE2, createDate=Sun Sep 17 10:36:12 EDT 2017, systemMessageType=Normal]
