NTASData [id=16595157783, subwayLine=YUS, stationId=STP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=0.21618222222222222, timeString=00.22, trainDestination=SHW2, createDate=Sun Sep 17 12:53:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16595157784, subwayLine=YUS, stationId=STP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=2.3759244444444447, timeString=02.38, trainDestination=SHW2, createDate=Sun Sep 17 12:53:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16595157785, subwayLine=YUS, stationId=STP2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=5.632253333333333, timeString=05.63, trainDestination=SHW2, createDate=Sun Sep 17 12:53:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16595157786, subwayLine=YUS, stationId=QPK2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=1.358488888888889, timeString=01.36, trainDestination=SHW2, createDate=Sun Sep 17 12:53:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16595157787, subwayLine=YUS, stationId=QPK2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=3.5182311111111115, timeString=03.52, trainDestination=SHW2, createDate=Sun Sep 17 12:53:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16595157788, subwayLine=YUS, stationId=QPK2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=6.774559999999999, timeString=06.77, trainDestination=SHW2, createDate=Sun Sep 17 12:53:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16595157789, subwayLine=YUS, stationId=MUS2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=2.621022222222222, timeString=02.62, trainDestination=SHW2, createDate=Sun Sep 17 12:53:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16595157790, subwayLine=YUS, stationId=MUS2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=4.780764444444444, timeString=04.78, trainDestination=SHW2, createDate=Sun Sep 17 12:53:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16595157791, subwayLine=YUS, stationId=MUS2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=8.037093333333331, timeString=08.04, trainDestination=SHW2, createDate=Sun Sep 17 12:53:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16595157792, subwayLine=YUS, stationId=SGU2, trainId=3, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:53:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16595157793, subwayLine=YUS, stationId=SGU2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=3.7805444444444447, timeString=03.78, trainDestination=SHW2, createDate=Sun Sep 17 12:53:37 EDT 2017, systemMessageType=Normal]
