NTASData [id=16593874893, subwayLine=SHEP, stationId=BSS1, trainId=461, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=DML1, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593874894, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=1.5878859060402686, timeString=01.59, trainDestination=DML1, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593874895, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=0.21140939597315436, timeString=00.21, trainDestination=DML1, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593874896, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=5.092550335570469, timeString=05.09, trainDestination=DML1, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593874897, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=0.21140939597315436, timeString=00.21, trainDestination=DML1, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593874898, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=5.092550335570469, timeString=05.09, trainDestination=DML1, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593874899, subwayLine=SHEP, stationId=LES2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=0.33825503355704695, timeString=00.34, trainDestination=YIE2, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593874900, subwayLine=SHEP, stationId=BSS2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=1.9341946308724833, timeString=01.93, trainDestination=YIE2, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593874901, subwayLine=SHEP, stationId=BYV2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=3.725436241610738, timeString=03.73, trainDestination=YIE2, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593874902, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=0.5033557046979865, timeString=00.50, trainDestination=YIE1, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593874903, subwayLine=SHEP, stationId=YIE2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=7.866342281879194, timeString=07.87, trainDestination=YIE2, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593874904, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=0.5033557046979865, timeString=00.50, trainDestination=YIE1, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593874905, subwayLine=SHEP, stationId=YIE1, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=7.866342281879194, timeString=07.87, trainDestination=YIE2, createDate=Sun Sep 17 11:15:00 EDT 2017, systemMessageType=Normal]
